customer_id,max_step_reached,terminal_state,abandoned_at_step,abandoned_at_step_name,completed_onboarding,selfie_attempts,n_retry_rows,wall_clock_seconds,journey_start_ts,journey_end_ts,account_created_ts
1000013,7,ACCOUNT_CREATED,,,True,1,0,710.800135,2026-03-23 04:06:11,2026-03-23 04:18:02,2026-03-23 04:18:02
1000014,6,ABANDONED_AT_STEP_6,6.0,terms_acceptance,False,2,1,422.587643,2026-07-25 07:49:31,2026-07-25 07:56:34,
1000015,1,ABANDONED_AT_STEP_1,1.0,phone_verification,False,0,0,0.0,2026-02-02 07:58:25,2026-02-02 07:58:25,
1000016,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,563.171305,2026-03-02 05:45:43,2026-03-02 05:55:07,
1000017,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,2,1,334.106687,2026-05-22 00:11:34,2026-05-22 00:17:08,
1000018,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,254.339072,2026-03-13 02:20:09,2026-03-13 02:24:23,
1000019,7,ACCOUNT_CREATED,,,True,2,1,212.358322,2026-07-28 03:16:22,2026-07-28 03:19:55,2026-07-28 03:19:55
1000020,7,ACCOUNT_CREATED,,,True,1,0,199.588753,2026-07-23 21:41:30,2026-07-23 21:44:50,2026-07-23 21:44:50
1000021,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,3,2,340.201224,2026-04-09 12:29:03,2026-04-09 12:34:43,
1000022,7,ACCOUNT_CREATED,,,True,1,0,327.833086,2026-06-21 14:22:08,2026-06-21 14:27:36,2026-06-21 14:27:36
1000023,7,ACCOUNT_CREATED,,,True,2,1,334.577904,2026-02-06 23:02:24,2026-02-06 23:07:58,2026-02-06 23:07:58
1000024,1,ABANDONED_AT_STEP_1,1.0,phone_verification,False,0,0,0.0,2026-04-26 17:38:22,2026-04-26 17:38:22,
1000025,2,ABANDONED_AT_STEP_2,2.0,personal_data,False,0,0,15.41429,2026-07-28 17:33:16,2026-07-28 17:33:32,
1000026,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,273.294913,2026-04-01 23:03:39,2026-04-01 23:08:12,
1000027,7,ACCOUNT_CREATED,,,True,2,1,709.577244,2026-03-15 06:52:47,2026-03-15 07:04:37,2026-03-15 07:04:37
1000028,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,447.596398,2026-05-19 00:25:03,2026-05-19 00:32:30,
1000029,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,4,3,173.065362,2026-07-08 16:31:03,2026-07-08 16:33:56,
1000030,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,2,1,249.319059,2026-06-12 14:06:36,2026-06-12 14:10:46,
1000031,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,2,1,73.913327,2026-05-04 02:39:13,2026-05-04 02:40:27,
1000032,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,226.186767,2026-05-09 02:02:20,2026-05-09 02:06:06,
1000033,7,ACCOUNT_CREATED,,,True,3,2,349.269028,2026-03-20 22:42:59,2026-03-20 22:48:48,2026-03-20 22:48:48
1000034,7,ACCOUNT_CREATED,,,True,2,1,499.723349,2026-07-01 07:50:43,2026-07-01 07:59:03,2026-07-01 07:59:03
1000035,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,2,1,385.793603,2026-07-23 05:12:08,2026-07-23 05:18:34,
1000036,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,4,3,257.081242,2026-02-07 14:21:05,2026-02-07 14:25:22,
1000037,7,ACCOUNT_CREATED,,,True,1,0,266.849073,2026-07-31 05:43:13,2026-07-31 05:47:39,2026-07-31 05:47:39
1000038,7,ACCOUNT_CREATED,,,True,2,1,465.156776,2026-03-20 14:50:27,2026-03-20 14:58:12,2026-03-20 14:58:12
1000039,2,ABANDONED_AT_STEP_2,2.0,personal_data,False,0,0,13.399643,2026-07-08 11:46:15,2026-07-08 11:46:28,
1000040,5,ABANDONED_AT_STEP_5,5.0,address,False,1,0,374.361145,2026-04-09 01:23:25,2026-04-09 01:29:39,
1000041,7,ACCOUNT_CREATED,,,True,1,0,326.167134,2026-05-15 10:58:08,2026-05-15 11:03:34,2026-05-15 11:03:34
1000042,1,ABANDONED_AT_STEP_1,1.0,phone_verification,False,0,0,0.0,2026-03-01 17:45:01,2026-03-01 17:45:01,
1000043,7,ACCOUNT_CREATED,,,True,1,0,375.839832,2026-05-08 20:00:22,2026-05-08 20:06:38,2026-05-08 20:06:38
1000044,6,ABANDONED_AT_STEP_6,6.0,terms_acceptance,False,2,1,263.830536,2026-03-12 11:08:59,2026-03-12 11:13:23,
1000045,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,413.309874,2026-03-15 03:56:36,2026-03-15 04:03:29,
1000046,7,ACCOUNT_CREATED,,,True,4,3,232.651521,2026-05-18 12:07:16,2026-05-18 12:11:09,2026-05-18 12:11:09
1000047,7,ACCOUNT_CREATED,,,True,1,0,353.725214,2026-05-24 03:30:34,2026-05-24 03:36:27,2026-05-24 03:36:27
1000048,7,ACCOUNT_CREATED,,,True,2,1,642.028723,2026-05-08 22:47:24,2026-05-08 22:58:06,2026-05-08 22:58:06
1000049,7,ACCOUNT_CREATED,,,True,2,1,456.329987,2026-07-08 17:50:26,2026-07-08 17:58:02,2026-07-08 17:58:02
1000050,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,360.413352,2026-02-22 00:24:33,2026-02-22 00:30:33,
1000051,6,ABANDONED_AT_STEP_6,6.0,terms_acceptance,False,2,1,809.056015,2026-04-19 21:00:17,2026-04-19 21:13:46,
1000052,7,ACCOUNT_CREATED,,,True,1,0,476.974195,2026-03-15 18:21:19,2026-03-15 18:29:16,2026-03-15 18:29:16
1000053,7,ACCOUNT_CREATED,,,True,1,0,582.320189,2026-02-19 13:54:16,2026-02-19 14:03:59,2026-02-19 14:03:59
1000054,7,ACCOUNT_CREATED,,,True,2,1,473.211499,2026-06-15 09:41:26,2026-06-15 09:49:19,2026-06-15 09:49:19
1000055,7,ACCOUNT_CREATED,,,True,3,2,469.582023,2026-03-25 17:04:06,2026-03-25 17:11:56,2026-03-25 17:11:56
1000056,7,ACCOUNT_CREATED,,,True,1,0,420.291807,2026-06-19 03:54:30,2026-06-19 04:01:30,2026-06-19 04:01:30
1000057,7,ACCOUNT_CREATED,,,True,2,1,397.593661,2026-02-08 16:55:21,2026-02-08 17:01:59,2026-02-08 17:01:59
1000058,5,ABANDONED_AT_STEP_5,5.0,address,False,2,1,1103.703797,2026-07-20 20:41:41,2026-07-20 21:00:05,
1000059,1,ABANDONED_AT_STEP_1,1.0,phone_verification,False,0,0,0.0,2026-06-29 23:17:03,2026-06-29 23:17:03,
1000060,1,ABANDONED_AT_STEP_1,1.0,phone_verification,False,0,0,0.0,2026-04-16 03:36:12,2026-04-16 03:36:12,
1000061,2,ABANDONED_AT_STEP_2,2.0,personal_data,False,0,0,129.882716,2026-02-28 02:54:20,2026-02-28 02:56:30,
1000062,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,342.492741,2026-03-07 13:51:42,2026-03-07 13:57:24,
1000063,7,ACCOUNT_CREATED,,,True,1,0,431.797347,2026-04-18 07:11:59,2026-04-18 07:19:11,2026-04-18 07:19:11
1000064,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,352.317937,2026-06-20 22:30:25,2026-06-20 22:36:18,
1000065,7,ACCOUNT_CREATED,,,True,1,0,375.5424,2026-05-03 03:38:49,2026-05-03 03:45:05,2026-05-03 03:45:05
1000066,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,218.936443,2026-07-07 20:25:23,2026-07-07 20:29:02,
1000067,7,ACCOUNT_CREATED,,,True,1,0,494.839936,2026-04-30 21:18:03,2026-04-30 21:26:18,2026-04-30 21:26:18
1000068,7,ACCOUNT_CREATED,,,True,1,0,489.368148,2026-02-05 06:37:05,2026-02-05 06:45:14,2026-02-05 06:45:14
1000069,1,ABANDONED_AT_STEP_1,1.0,phone_verification,False,0,0,0.0,2026-05-27 14:30:50,2026-05-27 14:30:50,
1000070,7,ACCOUNT_CREATED,,,True,1,0,230.74174,2026-03-26 07:17:00,2026-03-26 07:20:51,2026-03-26 07:20:51
1000071,7,ACCOUNT_CREATED,,,True,1,0,278.31615,2026-06-02 11:00:49,2026-06-02 11:05:27,2026-06-02 11:05:27
1000072,7,ACCOUNT_CREATED,,,True,2,1,432.990853,2026-07-23 09:34:15,2026-07-23 09:41:28,2026-07-23 09:41:28
1000073,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,204.681986,2026-05-14 23:01:12,2026-05-14 23:04:37,
1000074,7,ACCOUNT_CREATED,,,True,1,0,455.592534,2026-05-12 18:09:41,2026-05-12 18:17:17,2026-05-12 18:17:17
1000075,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,174.376465,2026-02-04 11:18:58,2026-02-04 11:21:52,
1000076,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,3,2,404.595339,2026-07-04 02:39:31,2026-07-04 02:46:16,
1000077,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,115.974443,2026-05-13 19:04:54,2026-05-13 19:06:50,
1000078,7,ACCOUNT_CREATED,,,True,2,1,268.243534,2026-07-18 23:29:54,2026-07-18 23:34:22,2026-07-18 23:34:22
1000079,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,273.340382,2026-06-08 01:58:01,2026-06-08 02:02:34,
1000080,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,1,0,469.481415,2026-02-25 22:01:59,2026-02-25 22:09:49,
1000081,7,ACCOUNT_CREATED,,,True,1,0,236.77864,2026-03-21 03:00:51,2026-03-21 03:04:48,2026-03-21 03:04:48
1000082,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,2,1,320.359579,2026-03-09 01:11:56,2026-03-09 01:17:16,
1000083,7,ACCOUNT_CREATED,,,True,1,0,419.860771,2026-03-25 10:37:57,2026-03-25 10:44:57,2026-03-25 10:44:57
1000084,7,ACCOUNT_CREATED,,,True,1,0,1834.104133,2026-05-20 04:40:14,2026-05-20 05:10:48,2026-05-20 05:10:48
1000085,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,332.483075,2026-03-08 12:06:25,2026-03-08 12:11:58,
1000086,7,ACCOUNT_CREATED,,,True,1,0,728.109029,2026-07-18 20:20:42,2026-07-18 20:32:51,2026-07-18 20:32:51
1000087,7,ACCOUNT_CREATED,,,True,1,0,345.372829,2026-03-02 05:27:49,2026-03-02 05:33:34,2026-03-02 05:33:34
1000088,4,ABANDONED_AT_STEP_4,4.0,selfie_liveness,False,2,1,269.57293,2026-04-24 16:41:20,2026-04-24 16:45:50,
1000089,7,ACCOUNT_CREATED,,,True,1,0,611.307655,2026-03-10 22:56:51,2026-03-10 23:07:02,2026-03-10 23:07:02
1000090,7,ACCOUNT_CREATED,,,True,1,0,392.805863,2026-06-01 04:18:06,2026-06-01 04:24:39,2026-06-01 04:24:39
1000091,7,ACCOUNT_CREATED,,,True,1,0,344.994154,2026-02-26 08:59:15,2026-02-26 09:05:00,2026-02-26 09:05:00
1000092,3,ABANDONED_AT_STEP_3,3.0,id_document_upload,False,0,0,181.694766,2026-03-12 18:00:19,2026-03-12 18:03:21,
1000093,7,ACCOUNT_CREATED,,,True,3,2,929.108939,2026-02-09 14:56:28,2026-02-09 15:11:57,2026-02-09 15:11:57
1000094,5,ABANDONED_AT_STEP_5,5.0,address,False,2,1,206.475783,2026-06-28 23:01:16,2026-06-28 23:04:43,
1000095,7,ACCOUNT_CREATED,,,True,3,2,254.194842,2026-02-14 17:51:29,2026-02-14 17:55:43,2026-02-14 17:55:43
1000096,7,ACCOUNT_CREATED,,,True,1,0,524.969856,2026-04-19 19:26:10,2026-04-19 19:34:55,2026-04-19 19:34:55
1000097,7,ACCOUNT_CREATED,,,True,1,0,421.270785,2026-06-26 00:48:24,2026-06-26 00:55:26,2026-06-26 00:55:26
1000098,7,ACCOUNT_CREATED,,,True,1,0,382.695198,2026-04-14 03:21:54,2026-04-14 03:28:17,2026-04-14 03:28:17
1000099,7,ACCOUNT_CREATED,,,True,1,0,538.948126,2026-07-13 16:33:10,2026-07-13 16:42:09,2026-07-13 16:42:09
